Model,Üretim Yılı,Motor Sayısı,Motor Türü,Kapasite,Menzil (km),Yakıt Tüketimi (L/saat),Saatlik Bakım Maliyeti ($),Yaş,Satış Bölgesi,Fiyat ($)
Boeing 777,2000,2,Turbofan,396,15600,10.88,2846.28,23,Asya,457464579.89
Boeing 737,2006,2,Turbofan,162,5700,9.76,2497.7,17,Afrika,70974629.13
Cessna 172,1989,1,Piston,4,1285,38.62,1808.96,34,Güney Amerika,200473.52
Airbus A350,2020,2,Turbofan,350,14800,10.6,1852.79,3,Avrupa,755164255.26
Airbus A320,2009,2,Turbofan,180,6300,11.15,3630.13,14,Asya,102255793.0
Airbus A320,1987,2,Turbofan,180,6300,5.31,2276.84,36,Afrika,90887988.43
Boeing 777,2015,2,Turbofan,396,15600,11.0,1205.75,8,Avustralya,685557163.73
Airbus A350,1986,2,Turbofan,350,14800,7.31,4580.01,37,Avrupa,381292160.19
Boeing 737,2007,2,Turbofan,162,5700,4.05,4310.15,16,Asya,96199877.45
Bombardier CRJ200,1990,2,Turbofan,50,3000,10.76,1606.12,33,Asya,13029753.6
Airbus A320,2012,2,Turbofan,180,6300,12.89,694.49,11,Güney Amerika,128658144.0
Airbus A350,2007,2,Turbofan,350,14800,2.89,1510.16,16,Kuzey Amerika,461867615.07
Airbus A320,2005,2,Turbofan,180,6300,4.2,2666.72,18,Avustralya,91231636.55
Cessna 172,1995,1,Piston,4,1285,32.7,2041.13,28,Avustralya,230597.01
Boeing 777,1987,2,Turbofan,396,15600,6.91,1782.36,36,Kuzey Amerika,379187548.21
Boeing 777,2017,2,Turbofan,396,15600,6.27,869.91,6,Güney Amerika,731592770.83
Cessna 172,1986,1,Piston,4,1285,31.71,2409.7,37,Avustralya,240133.53
Boeing 737,1984,2,Turbofan,162,5700,7.61,676.94,39,Avustralya,60005686.46
Boeing 777,2008,2,Turbofan,396,15600,10.42,2220.15,15,Afrika,557266381.74
Bombardier CRJ200,2008,2,Turbofan,50,3000,5.93,4940.95,15,Avustralya,17796635.04
Airbus A350,1998,2,Turbofan,350,14800,4.15,638.91,25,Afrika,312336208.8
Bombardier CRJ200,1988,2,Turbofan,50,3000,7.62,936.74,35,Avustralya,10964222.96
Airbus A320,2017,2,Turbofan,180,6300,3.59,2021.52,6,Güney Amerika,146873803.17
Boeing 737,1989,2,Turbofan,162,5700,11.28,1859.22,34,Asya,61284847.41
Cessna 172,2017,1,Piston,4,1285,27.09,3254.21,6,Kuzey Amerika,351367.71
Bombardier CRJ200,2021,2,Turbofan,50,3000,6.56,3164.48,2,Afrika,20144781.6
Airbus A350,2000,2,Turbofan,350,14800,3.51,1467.03,23,Afrika,395700290.2
Airbus A320,2012,2,Turbofan,180,6300,8.38,3313.44,11,Avustralya,134625436.21
Cessna 172,1997,1,Piston,4,1285,31.88,4426.55,26,Asya,230909.49
Airbus A320,1999,2,Turbofan,180,6300,3.45,3738.6,24,Afrika,81198255.53
Boeing 777,1983,2,Turbofan,396,15600,12.23,1299.67,40,Güney Amerika,404194113.94
Cessna 172,2013,1,Piston,4,1285,35.28,2995.05,10,Güney Amerika,384190.84
Cessna 172,2007,1,Piston,4,1285,37.21,2476.02,16,Kuzey Amerika,311032.98
Boeing 777,2004,2,Turbofan,396,15600,4.09,1923.45,19,Kuzey Amerika,558989229.47
Airbus A320,1989,2,Turbofan,180,6300,10.6,2342.04,34,Asya,67851641.07
Bombardier CRJ200,1993,2,Turbofan,50,3000,12.58,3259.79,30,Afrika,13920037.75
Cessna 172,1997,1,Piston,4,1285,28.02,618.28,26,Güney Amerika,219726.69
Cessna 172,2000,1,Piston,4,1285,30.67,3431.64,23,Asya,267259.06
Boeing 777,1998,2,Turbofan,396,15600,2.71,4963.44,25,Avrupa,361880350.7
Boeing 737,1998,2,Turbofan,162,5700,6.98,1219.04,25,Kuzey Amerika,63334831.47
Airbus A350,2008,2,Turbofan,350,14800,14.53,1199.93,15,Avrupa,513263716.04
Airbus A320,1998,2,Turbofan,180,6300,8.94,3378.86,25,Kuzey Amerika,81631077.88
Cessna 172,1986,1,Piston,4,1285,35.1,4170.14,37,Avrupa,215113.84
Bombardier CRJ200,1997,2,Turbofan,50,3000,13.81,4563.14,26,Avrupa,14101252.14
Boeing 737,1993,2,Turbofan,162,5700,9.9,2857.6,30,Güney Amerika,57160338.19
Cessna 172,1990,1,Piston,4,1285,39.78,4531.4,33,Asya,201973.36
Cessna 172,1982,1,Piston,4,1285,49.27,975.39,41,Güney Amerika,228626.84
Cessna 172,1992,1,Piston,4,1285,30.2,716.68,31,Asya,223535.89
Airbus A350,1981,2,Turbofan,350,14800,9.06,3643.69,42,Kuzey Amerika,410290124.86
Airbus A320,1998,2,Turbofan,180,6300,13.03,2184.52,25,Güney Amerika,82550835.6
Airbus A350,2008,2,Turbofan,350,14800,5.52,1233.12,15,Güney Amerika,514712621.24
Airbus A320,2009,2,Turbofan,180,6300,12.47,2209.59,14,Kuzey Amerika,108077725.33
Boeing 737,1987,2,Turbofan,162,5700,7.68,3439.09,36,Afrika,60595310.2
Airbus A350,2011,2,Turbofan,350,14800,10.15,1311.22,12,Kuzey Amerika,574609579.03
Boeing 737,1988,2,Turbofan,162,5700,12.06,3386.15,35,Kuzey Amerika,73349187.08
Bombardier CRJ200,2022,2,Turbofan,50,3000,14.52,3577.91,1,Asya,22059485.44
Boeing 777,1985,2,Turbofan,396,15600,9.17,1468.09,38,Avustralya,401987441.61
Airbus A320,1984,2,Turbofan,180,6300,8.84,2057.83,39,Kuzey Amerika,67182957.54
Airbus A320,2012,2,Turbofan,180,6300,2.62,1544.58,11,Kuzey Amerika,99608586.76
Boeing 777,2009,2,Turbofan,396,15600,6.21,1318.74,14,Avustralya,619379604.51
Bombardier CRJ200,2012,2,Turbofan,50,3000,14.36,721.76,11,Avustralya,21230891.9
Boeing 737,2000,2,Turbofan,162,5700,13.74,2404.03,23,Asya,70781938.52
Airbus A350,1986,2,Turbofan,350,14800,9.46,2674.93,37,Avustralya,437266947.72
Cessna 172,2000,1,Piston,4,1285,20.86,3049.95,23,Avrupa,229381.2
Cessna 172,2022,1,Piston,4,1285,34.24,1154.93,1,Avustralya,380227.15
Boeing 737,2020,2,Turbofan,162,5700,8.69,2280.28,3,Avustralya,119009629.54
Boeing 737,1995,2,Turbofan,162,5700,2.99,4221.02,28,Avrupa,70142804.78
Cessna 172,2004,1,Piston,4,1285,21.6,3417.91,19,Avrupa,251886.05
Bombardier CRJ200,1992,2,Turbofan,50,3000,8.41,4304.01,31,Kuzey Amerika,12603827.36
Airbus A350,1989,2,Turbofan,350,14800,6.66,4762.02,34,Afrika,372260112.56
Airbus A320,2011,2,Turbofan,180,6300,6.23,1132.61,12,Kuzey Amerika,126373027.59
Airbus A320,1992,2,Turbofan,180,6300,8.65,4421.11,31,Avustralya,77228630.99
Boeing 737,2013,2,Turbofan,162,5700,2.08,3043.52,10,Avustralya,95446985.11
Bombardier CRJ200,1993,2,Turbofan,50,3000,10.36,4410.71,30,Asya,12595118.47
Airbus A350,1984,2,Turbofan,350,14800,4.05,1532.38,39,Afrika,401809082.4
Cessna 172,2019,1,Piston,4,1285,23.94,3732.62,4,Avrupa,403127.86
Bombardier CRJ200,1991,2,Turbofan,50,3000,6.04,3143.23,32,Asya,10547256.47
Airbus A350,1996,2,Turbofan,350,14800,6.44,3281.69,27,Güney Amerika,442527518.02
Airbus A350,2020,2,Turbofan,350,14800,7.14,629.89,3,Güney Amerika,712931952.04
Airbus A320,2020,2,Turbofan,180,6300,13.5,877.8,3,Kuzey Amerika,156627452.57
Airbus A350,2013,2,Turbofan,350,14800,5.17,1709.94,10,Avustralya,634403777.56
Airbus A320,1999,2,Turbofan,180,6300,8.39,2951.1,24,Avrupa,67581244.11
Boeing 777,2022,2,Turbofan,396,15600,6.11,3728.92,1,Afrika,733597664.02
Airbus A350,2020,2,Turbofan,350,14800,10.63,4021.79,3,Afrika,735585890.45
Cessna 172,2002,1,Piston,4,1285,29.26,3574.44,21,Güney Amerika,233284.35
Airbus A350,1998,2,Turbofan,350,14800,2.72,4331.98,25,Asya,381036912.46
Airbus A320,1987,2,Turbofan,180,6300,9.5,1169.34,36,Kuzey Amerika,76120730.71
Airbus A350,2008,2,Turbofan,350,14800,14.66,4643.44,15,Kuzey Amerika,529661879.7
Airbus A320,2022,2,Turbofan,180,6300,8.26,3226.78,1,Afrika,140707074.28
Boeing 737,1991,2,Turbofan,162,5700,13.91,2719.69,32,Afrika,70944320.24
Boeing 777,2022,2,Turbofan,396,15600,14.05,4800.45,1,Asya,711836228.47
Boeing 777,2005,2,Turbofan,396,15600,7.74,1839.49,18,Avustralya,469806647.69
Airbus A320,2010,2,Turbofan,180,6300,6.86,1913.75,13,Afrika,131582716.57
Cessna 172,2006,1,Piston,4,1285,42.58,3810.01,17,Avustralya,299531.8
Airbus A320,1981,2,Turbofan,180,6300,2.62,644.83,42,Kuzey Amerika,79669222.49
Boeing 777,2012,2,Turbofan,396,15600,2.68,3101.63,11,Avrupa,710821246.98
Airbus A350,1983,2,Turbofan,350,14800,10.3,1648.91,40,Güney Amerika,487607613.98
Boeing 777,1996,2,Turbofan,396,15600,8.99,4248.72,27,Avustralya,398716519.88
Boeing 777,2006,2,Turbofan,396,15600,13.77,2825.86,17,Afrika,531635935.53
Airbus A350,2007,2,Turbofan,350,14800,3.44,4291.12,16,Afrika,430187812.95
Boeing 777,1983,2,Turbofan,396,15600,4.38,4075.98,40,Kuzey Amerika,415229127.01
Airbus A350,1994,2,Turbofan,350,14800,8.15,1369.56,29,Kuzey Amerika,417782515.8
Bombardier CRJ200,1982,2,Turbofan,50,3000,10.24,3568.57,41,Kuzey Amerika,13159630.32
Airbus A350,2006,2,Turbofan,350,14800,8.58,2836.69,17,Avrupa,483415875.94
Cessna 172,1990,1,Piston,4,1285,46.88,780.13,33,Güney Amerika,216162.22
Airbus A320,2020,2,Turbofan,180,6300,4.8,4116.05,3,Asya,127994103.19
Cessna 172,2019,1,Piston,4,1285,19.63,2873.18,4,Kuzey Amerika,408165.82
Airbus A320,2018,2,Turbofan,180,6300,13.63,4351.89,5,Güney Amerika,162702349.99
Boeing 737,1981,2,Turbofan,162,5700,11.43,3419.3,42,Afrika,49735423.47
Boeing 737,2001,2,Turbofan,162,5700,13.81,3416.53,22,Kuzey Amerika,77621267.16
Cessna 172,1984,1,Piston,4,1285,22.58,2375.06,39,Avustralya,188766.23
Boeing 737,2013,2,Turbofan,162,5700,8.48,831.02,10,Avrupa,81076058.97
Boeing 777,2014,2,Turbofan,396,15600,9.65,2724.41,9,Avrupa,736389424.01
Airbus A320,2014,2,Turbofan,180,6300,14.42,4451.97,9,Afrika,108347020.94
Bombardier CRJ200,1994,2,Turbofan,50,3000,2.55,3126.25,29,Kuzey Amerika,10978404.11
Airbus A320,2003,2,Turbofan,180,6300,4.18,1145.38,20,Kuzey Amerika,90062939.46
Airbus A350,1993,2,Turbofan,350,14800,13.73,705.08,30,Güney Amerika,441385625.42
Bombardier CRJ200,1995,2,Turbofan,50,3000,12.29,4226.49,28,Asya,12531708.24
Boeing 737,1981,2,Turbofan,162,5700,14.57,4471.73,42,Güney Amerika,67347435.14
Boeing 737,2012,2,Turbofan,162,5700,2.92,3754.8,11,Afrika,98176613.31
Airbus A350,1982,2,Turbofan,350,14800,10.93,3568.02,41,Avrupa,363366068.09
Boeing 777,1999,2,Turbofan,396,15600,2.16,3132.1,24,Asya,445233142.68
Airbus A320,2020,2,Turbofan,180,6300,2.81,1994.34,3,Avustralya,167078657.7
Airbus A320,1982,2,Turbofan,180,6300,8.86,1428.99,41,Kuzey Amerika,79085069.97
Bombardier CRJ200,1987,2,Turbofan,50,3000,3.57,1418.04,36,Afrika,11073809.24
Bombardier CRJ200,2005,2,Turbofan,50,3000,2.41,3143.1,18,Avrupa,15489486.06
Bombardier CRJ200,1997,2,Turbofan,50,3000,9.15,980.22,26,Asya,11593567.6
Boeing 737,1984,2,Turbofan,162,5700,12.9,3080.2,39,Güney Amerika,63950740.07
Bombardier CRJ200,2006,2,Turbofan,50,3000,3.71,3750.42,17,Asya,18660662.17
Boeing 737,2014,2,Turbofan,162,5700,13.12,667.54,9,Güney Amerika,113614475.27
Airbus A320,1986,2,Turbofan,180,6300,13.06,4578.2,37,Avustralya,82651314.43
Cessna 172,2005,1,Piston,4,1285,37.15,3350.44,18,Avrupa,293385.43
Cessna 172,1999,1,Piston,4,1285,36.5,4128.78,24,Kuzey Amerika,198209.82
Airbus A350,2012,2,Turbofan,350,14800,2.22,4536.76,11,Avustralya,493560110.03
Boeing 737,1999,2,Turbofan,162,5700,14.41,3644.69,24,Kuzey Amerika,62408410.23
Airbus A350,1992,2,Turbofan,350,14800,6.06,2507.26,31,Asya,403064357.55
Boeing 777,2021,2,Turbofan,396,15600,7.61,1708.49,2,Güney Amerika,877456195.13
Airbus A350,2004,2,Turbofan,350,14800,5.86,4159.18,19,Kuzey Amerika,398921880.67
Airbus A350,1985,2,Turbofan,350,14800,10.67,1461.75,38,Avrupa,397726699.37
Airbus A350,2015,2,Turbofan,350,14800,13.09,571.76,8,Kuzey Amerika,643617499.2
Airbus A350,1998,2,Turbofan,350,14800,10.08,2844.51,25,Avustralya,367057833.95
Cessna 172,2012,1,Piston,4,1285,20.17,1522.86,11,Avrupa,304820.62
Airbus A350,1981,2,Turbofan,350,14800,12.56,2768.43,42,Afrika,393361583.08
Bombardier CRJ200,2005,2,Turbofan,50,3000,7.55,2927.38,18,Kuzey Amerika,17796421.09
Cessna 172,1986,1,Piston,4,1285,32.41,4877.19,37,Afrika,195998.31
Airbus A320,2016,2,Turbofan,180,6300,8.8,3251.09,7,Asya,124603045.37
Airbus A350,1994,2,Turbofan,350,14800,12.79,534.64,29,Afrika,409671510.1
Boeing 777,2010,2,Turbofan,396,15600,6.71,809.51,13,Güney Amerika,662885431.1
Boeing 737,2021,2,Turbofan,162,5700,13.21,4709.22,2,Kuzey Amerika,112329135.84
Boeing 777,1989,2,Turbofan,396,15600,6.63,2520.9,34,Avustralya,378167974.19
Boeing 737,1986,2,Turbofan,162,5700,14.56,3570.02,37,Güney Amerika,59903739.28
Airbus A320,1993,2,Turbofan,180,6300,2.49,4539.26,30,Afrika,76986728.44
Cessna 172,1995,1,Piston,4,1285,36.58,4787.45,28,Asya,213382.44
Airbus A320,2005,2,Turbofan,180,6300,6.31,2527.81,18,Güney Amerika,94469904.07
Airbus A350,2013,2,Turbofan,350,14800,12.69,4809.45,10,Avustralya,537776893.14
Cessna 172,1994,1,Piston,4,1285,39.08,3804.46,29,Asya,223661.31
Airbus A350,1996,2,Turbofan,350,14800,14.02,2412.81,27,Afrika,352883233.07
Boeing 777,2001,2,Turbofan,396,15600,12.34,784.51,22,Avrupa,412022720.43
Boeing 737,2000,2,Turbofan,162,5700,6.09,3297.92,23,Avustralya,67339094.64
Cessna 172,2018,1,Piston,4,1285,20.36,1612.3,5,Afrika,336720.48
Boeing 737,1997,2,Turbofan,162,5700,8.7,4440.09,26,Avustralya,61251392.89
Airbus A320,2015,2,Turbofan,180,6300,3.56,1338.88,8,Afrika,101992473.93
Cessna 172,2011,1,Piston,4,1285,47.58,4416.37,12,Kuzey Amerika,317520.13
Bombardier CRJ200,1995,2,Turbofan,50,3000,3.08,4812.29,28,Kuzey Amerika,11317340.64
Airbus A350,2010,2,Turbofan,350,14800,14.64,3396.39,13,Güney Amerika,549660199.12
Cessna 172,1985,1,Piston,4,1285,18.08,1232.37,38,Asya,222519.6
Airbus A350,1984,2,Turbofan,350,14800,13.85,4503.21,39,Afrika,423700767.27
Airbus A320,1980,2,Turbofan,180,6300,10.6,3829.69,43,Avrupa,82744006.54
Cessna 172,1987,1,Piston,4,1285,37.42,4222.75,36,Avrupa,179950.57
Airbus A320,2008,2,Turbofan,180,6300,8.15,3847.5,15,Asya,111944863.93
Boeing 737,2007,2,Turbofan,162,5700,12.43,1826.56,16,Afrika,89522634.41
Airbus A320,2020,2,Turbofan,180,6300,10.44,1244.49,3,Güney Amerika,149788652.54
Airbus A350,1988,2,Turbofan,350,14800,13.75,1599.08,35,Avustralya,382832570.76
Cessna 172,2006,1,Piston,4,1285,24.2,4059.89,17,Afrika,261651.97
Boeing 737,1998,2,Turbofan,162,5700,13.06,4793.62,25,Asya,56786633.11
Airbus A350,1998,2,Turbofan,350,14800,14.57,4504.84,25,Avustralya,335913090.35
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.13,816.98,26,Güney Amerika,11006327.93
Boeing 777,2019,2,Turbofan,396,15600,6.12,2198.74,4,Kuzey Amerika,739235490.72
Cessna 172,2021,1,Piston,4,1285,36.45,2912.25,2,Avrupa,379674.69
Airbus A320,1998,2,Turbofan,180,6300,10.82,4158.26,25,Güney Amerika,81638018.9
Bombardier CRJ200,1993,2,Turbofan,50,3000,7.84,4500.84,30,Güney Amerika,9613575.82
Bombardier CRJ200,2003,2,Turbofan,50,3000,11.3,4697.65,20,Güney Amerika,12959409.52
Cessna 172,1996,1,Piston,4,1285,41.88,4677.1,27,Afrika,194216.48
Airbus A350,1993,2,Turbofan,350,14800,14.59,1811.66,30,Kuzey Amerika,381975134.32
Bombardier CRJ200,1988,2,Turbofan,50,3000,3.21,1937.4,35,Avrupa,13312414.36
Cessna 172,2010,1,Piston,4,1285,21.91,1784.56,13,Asya,345025.77
Boeing 777,2006,2,Turbofan,396,15600,2.28,2610.02,17,Avrupa,490279705.42
Airbus A320,2010,2,Turbofan,180,6300,12.43,4341.93,13,Asya,128042810.7
Boeing 737,1999,2,Turbofan,162,5700,6.22,3476.31,24,Avustralya,47385531.66
Airbus A320,1992,2,Turbofan,180,6300,13.03,2024.97,31,Avustralya,84896579.42
Boeing 737,2014,2,Turbofan,162,5700,12.83,2675.78,9,Afrika,104723700.39
Boeing 777,1986,2,Turbofan,396,15600,8.8,2793.96,37,Asya,411079812.69
Cessna 172,2009,1,Piston,4,1285,38.75,1468.71,14,Güney Amerika,312148.71
Airbus A320,1984,2,Turbofan,180,6300,13.88,3068.46,39,Kuzey Amerika,71989140.49
Bombardier CRJ200,2015,2,Turbofan,50,3000,3.78,2867.82,8,Avrupa,18562871.72
Boeing 777,2020,2,Turbofan,396,15600,2.4,1417.07,3,Asya,758754589.26
Airbus A320,1997,2,Turbofan,180,6300,3.1,2809.82,26,Kuzey Amerika,84241595.63
Airbus A350,2017,2,Turbofan,350,14800,3.01,3738.93,6,Avustralya,651800664.78
Boeing 777,2003,2,Turbofan,396,15600,10.76,1508.94,20,Güney Amerika,489532785.9
Airbus A350,1996,2,Turbofan,350,14800,14.45,2957.41,27,Güney Amerika,421370718.63
Cessna 172,2021,1,Piston,4,1285,44.0,3864.4,2,Avustralya,441227.45
Airbus A320,1984,2,Turbofan,180,6300,6.18,3269.33,39,Güney Amerika,62501149.86
Airbus A320,1986,2,Turbofan,180,6300,5.08,3066.12,37,Avustralya,75602158.97
Airbus A320,1997,2,Turbofan,180,6300,13.91,3826.8,26,Avrupa,70554626.4
Boeing 777,2016,2,Turbofan,396,15600,10.36,2559.71,7,Asya,782319318.98
Airbus A320,2013,2,Turbofan,180,6300,5.33,4074.99,10,Güney Amerika,129795945.46
Bombardier CRJ200,2004,2,Turbofan,50,3000,14.49,2881.29,19,Kuzey Amerika,15371724.04
Cessna 172,2017,1,Piston,4,1285,22.02,4830.19,6,Güney Amerika,353660.92
Boeing 777,2019,2,Turbofan,396,15600,14.14,4376.52,4,Avustralya,671138324.52
Airbus A350,1993,2,Turbofan,350,14800,2.47,2003.0,30,Avrupa,400591785.21
Boeing 737,1994,2,Turbofan,162,5700,13.04,4241.54,29,Avrupa,54389258.52
Boeing 737,2019,2,Turbofan,162,5700,11.79,845.65,4,Avrupa,131784931.48
Airbus A320,1990,2,Turbofan,180,6300,13.86,3769.37,33,Afrika,84371618.44
Boeing 737,2000,2,Turbofan,162,5700,10.2,3856.8,23,Asya,72223654.96
Boeing 737,1988,2,Turbofan,162,5700,13.73,2421.35,35,Güney Amerika,56333825.14
Airbus A350,2007,2,Turbofan,350,14800,5.78,875.61,16,Avustralya,590799461.72
Airbus A350,2000,2,Turbofan,350,14800,5.58,2946.77,23,Kuzey Amerika,408088577.44
Cessna 172,1987,1,Piston,4,1285,42.02,1264.19,36,Avrupa,181323.18
Cessna 172,2005,1,Piston,4,1285,32.95,2679.66,18,Afrika,261633.61
Airbus A350,2010,2,Turbofan,350,14800,12.51,2345.4,13,Kuzey Amerika,502825763.93
Boeing 777,2013,2,Turbofan,396,15600,4.9,3965.72,10,Kuzey Amerika,548320988.1
Cessna 172,1985,1,Piston,4,1285,48.08,4947.11,38,Güney Amerika,227060.1
Airbus A320,1990,2,Turbofan,180,6300,11.09,3034.69,33,Avustralya,83359475.43
Boeing 777,1989,2,Turbofan,396,15600,14.46,3649.23,34,Afrika,432172723.71
Cessna 172,2008,1,Piston,4,1285,35.45,3184.05,15,Afrika,312336.08
Bombardier CRJ200,1996,2,Turbofan,50,3000,5.04,3798.2,27,Avustralya,13166448.87
Boeing 737,2015,2,Turbofan,162,5700,3.91,2170.7,8,Afrika,73748421.95
Bombardier CRJ200,2002,2,Turbofan,50,3000,9.95,4987.23,21,Avrupa,14569282.52
Boeing 737,2003,2,Turbofan,162,5700,6.34,4039.0,20,Afrika,79123051.89
Bombardier CRJ200,2002,2,Turbofan,50,3000,5.83,3636.47,21,Avustralya,15581521.12
Airbus A350,1993,2,Turbofan,350,14800,10.24,2968.87,30,Güney Amerika,401742497.67
Cessna 172,1992,1,Piston,4,1285,48.84,4542.23,31,Afrika,217325.73
Boeing 777,1991,2,Turbofan,396,15600,14.63,3503.43,32,Avustralya,376720976.65
Boeing 737,1992,2,Turbofan,162,5700,5.1,2423.46,31,Afrika,68290230.86
Boeing 777,2013,2,Turbofan,396,15600,4.44,518.89,10,Avrupa,523467171.15
Boeing 737,2017,2,Turbofan,162,5700,12.82,3927.74,6,Kuzey Amerika,103830040.12
Boeing 777,1986,2,Turbofan,396,15600,10.35,4888.85,37,Kuzey Amerika,322602443.65
Boeing 777,2012,2,Turbofan,396,15600,4.77,1500.43,11,Asya,597118764.91
Cessna 172,1997,1,Piston,4,1285,49.67,2341.35,26,Asya,226514.48
Bombardier CRJ200,1997,2,Turbofan,50,3000,7.94,2086.18,26,Avustralya,11035937.4
Airbus A350,2005,2,Turbofan,350,14800,7.26,1168.81,18,Asya,480339655.32
Bombardier CRJ200,1996,2,Turbofan,50,3000,12.28,940.72,27,Kuzey Amerika,10926537.03
Bombardier CRJ200,1983,2,Turbofan,50,3000,11.41,3049.71,40,Güney Amerika,9853637.27
Boeing 737,2010,2,Turbofan,162,5700,8.81,941.94,13,Güney Amerika,82040507.27
Bombardier CRJ200,2009,2,Turbofan,50,3000,8.09,2815.26,14,Afrika,18640325.52
Airbus A320,2010,2,Turbofan,180,6300,3.87,3878.55,13,Avustralya,122016038.21
Bombardier CRJ200,2014,2,Turbofan,50,3000,3.04,3299.27,9,Asya,17979969.04
Boeing 737,2003,2,Turbofan,162,5700,13.21,1096.25,20,Asya,87698459.77
Cessna 172,1989,1,Piston,4,1285,24.19,3263.04,34,Avustralya,214533.04
Bombardier CRJ200,1991,2,Turbofan,50,3000,9.75,4654.52,32,Avrupa,11483968.6
Boeing 737,2006,2,Turbofan,162,5700,3.77,4872.43,17,Asya,95215642.11
Boeing 737,2008,2,Turbofan,162,5700,3.18,2864.93,15,Avustralya,91625690.82
Bombardier CRJ200,1983,2,Turbofan,50,3000,9.95,3122.99,40,Kuzey Amerika,13172331.9
Boeing 737,2014,2,Turbofan,162,5700,10.62,3968.48,9,Kuzey Amerika,112354978.04
Airbus A320,2021,2,Turbofan,180,6300,7.26,1471.15,2,Güney Amerika,151491009.21
Bombardier CRJ200,1981,2,Turbofan,50,3000,4.93,1906.35,42,Kuzey Amerika,11087770.23
Bombardier CRJ200,2000,2,Turbofan,50,3000,9.88,2776.15,23,Avustralya,13512964.01
Airbus A320,2017,2,Turbofan,180,6300,6.35,2419.81,6,Avustralya,121056867.61
Boeing 777,2013,2,Turbofan,396,15600,12.17,3045.35,10,Asya,674207666.45
Bombardier CRJ200,2005,2,Turbofan,50,3000,7.06,3921.74,18,Afrika,16597527.67
Bombardier CRJ200,2022,2,Turbofan,50,3000,7.03,3882.29,1,Asya,24713796.51
Boeing 737,1992,2,Turbofan,162,5700,7.52,1936.45,31,Güney Amerika,52106493.65
Airbus A320,1997,2,Turbofan,180,6300,13.13,2715.9,26,Asya,60899369.23
Airbus A320,2008,2,Turbofan,180,6300,7.31,1614.81,15,Asya,113827328.31
Boeing 777,2018,2,Turbofan,396,15600,11.7,2820.81,5,Avrupa,694646155.5
Bombardier CRJ200,2012,2,Turbofan,50,3000,6.69,2208.44,11,Afrika,18084603.54
Airbus A320,2020,2,Turbofan,180,6300,12.32,2262.87,3,Avustralya,147643495.83
Boeing 737,1999,2,Turbofan,162,5700,5.02,3307.58,24,Kuzey Amerika,52505918.42
Cessna 172,2002,1,Piston,4,1285,31.88,3734.13,21,Asya,281184.66
Boeing 777,2009,2,Turbofan,396,15600,13.48,1595.73,14,Güney Amerika,559307771.57
Bombardier CRJ200,1985,2,Turbofan,50,3000,9.92,3024.72,38,Güney Amerika,12279894.75
Airbus A350,1985,2,Turbofan,350,14800,11.79,3207.03,38,Asya,379777528.49
Boeing 737,1991,2,Turbofan,162,5700,9.12,2449.94,32,Avustralya,66386666.86
Boeing 737,1991,2,Turbofan,162,5700,5.67,505.16,32,Kuzey Amerika,60188789.52
Cessna 172,2020,1,Piston,4,1285,33.82,3128.17,3,Asya,403077.84
Airbus A320,1980,2,Turbofan,180,6300,11.43,2792.31,43,Avrupa,90394184.88
Bombardier CRJ200,2003,2,Turbofan,50,3000,9.91,2743.81,20,Afrika,14179159.14
Boeing 737,1995,2,Turbofan,162,5700,2.05,2233.06,28,Kuzey Amerika,68954528.64
Bombardier CRJ200,2021,2,Turbofan,50,3000,2.39,3260.42,2,Avrupa,26451632.77
Bombardier CRJ200,1988,2,Turbofan,50,3000,5.51,2974.64,35,Kuzey Amerika,12098206.76
Boeing 737,2004,2,Turbofan,162,5700,5.51,4037.76,19,Avustralya,84168379.98
Boeing 777,1991,2,Turbofan,396,15600,13.77,1264.98,32,Kuzey Amerika,456080852.75
Airbus A320,2016,2,Turbofan,180,6300,14.86,1402.9,7,Kuzey Amerika,147012442.43
Airbus A350,1994,2,Turbofan,350,14800,5.34,4065.58,29,Avrupa,412908093.58
Boeing 777,1992,2,Turbofan,396,15600,10.57,2499.51,31,Avrupa,469134938.98
Boeing 777,1996,2,Turbofan,396,15600,3.49,3352.88,27,Avustralya,375739695.13
Airbus A350,1996,2,Turbofan,350,14800,11.37,4014.69,27,Asya,336508498.17
Airbus A350,2002,2,Turbofan,350,14800,7.11,1705.98,21,Güney Amerika,450654367.98
Boeing 777,2002,2,Turbofan,396,15600,4.96,1759.68,21,Avustralya,485249369.65
Cessna 172,2008,1,Piston,4,1285,19.04,3044.62,15,Avustralya,333654.11
Bombardier CRJ200,1990,2,Turbofan,50,3000,4.49,4631.34,33,Asya,10654136.94
Cessna 172,2004,1,Piston,4,1285,22.98,1417.19,19,Avrupa,281659.85
Cessna 172,2016,1,Piston,4,1285,37.27,532.09,7,Avrupa,396959.39
Bombardier CRJ200,2007,2,Turbofan,50,3000,8.24,2116.28,16,Kuzey Amerika,15458155.7
Bombardier CRJ200,2023,2,Turbofan,50,3000,5.15,4845.6,0,Kuzey Amerika,26435921.54
Airbus A320,2001,2,Turbofan,180,6300,8.51,1494.49,22,Avustralya,94968786.02
Cessna 172,2015,1,Piston,4,1285,40.88,2075.91,8,Avustralya,342742.13
Boeing 777,1985,2,Turbofan,396,15600,5.06,4007.13,38,Güney Amerika,489503232.56
